il,yil,gosterge_kodu,gosterge,deger
Aydın,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.87
Ağrı,2018,yatak_1000,Bin kişiye düşen hastane yatağı,1.63
Balıkesir,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.72
Bartın,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.17
Batman,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.17
Bayburt,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.43
Bilecik,2018,yatak_1000,Bin kişiye düşen hastane yatağı,1.5
Bingöl,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.45
Bitlis,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.74
Bolu,2018,yatak_1000,Bin kişiye düşen hastane yatağı,4.64
Burdur,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.81
Bursa,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.46
Denizli,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.14
Diyarbakır,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.67
Düzce,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.04
Edirne,2018,yatak_1000,Bin kişiye düşen hastane yatağı,4.7
Elazığ,2018,yatak_1000,Bin kişiye düşen hastane yatağı,5.02
Erzincan,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.29
Erzurum,2018,yatak_1000,Bin kişiye düşen hastane yatağı,4.72
Eskişehir,2018,yatak_1000,Bin kişiye düşen hastane yatağı,4.07
Gaziantep,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.97
Giresun,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.47
Gümüşhane,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.01
Hakkari,2018,yatak_1000,Bin kişiye düşen hastane yatağı,1.37
Hatay,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.6
Isparta,2018,yatak_1000,Bin kişiye düşen hastane yatağı,4.58
Iğdır,2018,yatak_1000,Bin kişiye düşen hastane yatağı,1.59
Kahramanmaraş,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.57
Karabük,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.89
Karaman,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.37
Kars,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.55
Kastamonu,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.87
Kayseri,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.29
Kilis,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.25
Kocaeli,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.27
Konya,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.41
Kütahya,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.26
Kırklareli,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.51
Kırıkkale,2018,yatak_1000,Bin kişiye düşen hastane yatağı,4.38
Kırşehir,2018,yatak_1000,Bin kişiye düşen hastane yatağı,1.95
Malatya,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.72
Manisa,2018,yatak_1000,Bin kişiye düşen hastane yatağı,3.2
Mardin,2018,yatak_1000,Bin kişiye düşen hastane yatağı,1.74
Mersin,2018,yatak_1000,Bin kişiye düşen hastane yatağı,2.62
